subject-id,DSC,ASD,HD95,NSD,model
sub-verse058_vert-23-seg-vert_msk,0.86,0.72,2.0,0.87,OneDConcat
sub-verse058_vert-23-seg-vert_msk,0.88,0.59,2.0,0.91,MultiScale2DPermuteConcat
sub-verse058_vert-23-seg-vert_msk,0.88,0.66,1.81,0.92,AttentionUnet
sub-verse058_vert-23-seg-vert_msk,0.86,0.72,2.24,0.86,TLPredictor
sub-verse058_vert-24-seg-vert_msk,0.87,0.69,2.0,0.89,SwinUNETR
sub-verse058_vert-24-seg-vert_msk,0.85,0.76,2.24,0.84,TwoDPermuteConcat
sub-verse058_vert-24-seg-vert_msk,0.85,0.73,2.45,0.81,OneDConcat
sub-verse058_vert-24-seg-vert_msk,0.84,0.8,2.45,0.8,MultiScale2DPermuteConcat
sub-verse058_vert-24-seg-vert_msk,0.86,0.69,2.24,0.85,UNet
sub-verse058_vert-24-seg-vert_msk,0.86,0.7,2.24,0.84,AttentionUnet
sub-verse058_vert-24-seg-vert_msk,0.84,0.82,2.45,0.79,TLPredictor
sub-verse058_vert-24-seg-vert_msk,0.84,0.79,2.24,0.82,UNETR
sub-verse152_vert-19-seg-vert_msk,0.87,0.73,1.73,0.93,TLPredictor
sub-verse152_vert-19-seg-vert_msk,0.9,0.54,1.0,0.98,UNet
sub-verse152_vert-19-seg-vert_msk,0.9,0.54,1.41,0.97,TwoDPermuteConcat
sub-verse152_vert-19-seg-vert_msk,0.9,0.54,1.41,0.97,UNETR
sub-verse152_vert-19-seg-vert_msk,0.91,0.48,1.41,0.97,AttentionUnet
sub-verse152_vert-19-seg-vert_msk,0.91,0.5,1.41,0.97,SwinUNETR
sub-verse152_vert-19-seg-vert_msk,0.88,0.62,1.73,0.93,MultiScale2DPermuteConcat
sub-verse152_vert-19-seg-vert_msk,0.89,0.59,1.41,0.94,OneDConcat
sub-verse152_vert-20-seg-vert_msk,0.86,0.68,1.73,0.9,UNet
sub-verse152_vert-20-seg-vert_msk,0.86,0.68,1.73,0.91,TwoDPermuteConcat
sub-verse152_vert-20-seg-vert_msk,0.83,0.87,2.24,0.83,TLPredictor
sub-verse152_vert-20-seg-vert_msk,0.86,0.66,1.73,0.92,MultiScale2DPermuteConcat
sub-verse152_vert-20-seg-vert_msk,0.88,0.58,1.41,0.95,SwinUNETR
sub-verse152_vert-20-seg-vert_msk,0.86,0.64,1.73,0.91,UNETR
sub-verse152_vert-20-seg-vert_msk,0.83,0.76,2.83,0.84,OneDConcat
sub-verse152_vert-20-seg-vert_msk,0.88,0.55,1.73,0.93,AttentionUnet
sub-verse152_vert-21-seg-vert_msk,0.89,0.54,1.73,0.92,UNETR
sub-verse152_vert-21-seg-vert_msk,0.91,0.5,1.41,0.96,MultiScale2DPermuteConcat
sub-verse152_vert-21-seg-vert_msk,0.86,0.79,2.0,0.9,TLPredictor
sub-verse152_vert-21-seg-vert_msk,0.92,0.45,1.0,0.97,SwinUNETR
sub-verse152_vert-21-seg-vert_msk,0.9,0.54,1.73,0.95,AttentionUnet
sub-verse152_vert-21-seg-vert_msk,0.9,0.55,1.41,0.95,TwoDPermuteConcat
sub-verse152_vert-21-seg-vert_msk,0.87,0.69,1.73,0.91,OneDConcat
sub-verse152_vert-21-seg-vert_msk,0.9,0.56,1.41,0.96,UNet
sub-verse152_vert-22-seg-vert_msk,0.89,0.6,1.73,0.93,AttentionUnet
sub-verse152_vert-22-seg-vert_msk,0.88,0.63,2.0,0.9,TwoDPermuteConcat
sub-verse152_vert-22-seg-vert_msk,0.89,0.63,1.41,0.93,UNet
sub-verse152_vert-22-seg-vert_msk,0.85,0.77,2.0,0.86,OneDConcat
sub-verse152_vert-22-seg-vert_msk,0.89,0.59,1.73,0.92,SwinUNETR
sub-verse152_vert-22-seg-vert_msk,0.9,0.5,1.41,0.94,MultiScale2DPermuteConcat
sub-verse152_vert-22-seg-vert_msk,0.87,0.66,2.0,0.88,UNETR
sub-verse152_vert-22-seg-vert_msk,0.86,0.76,2.0,0.88,TLPredictor
sub-verse152_vert-23-seg-vert_msk,0.86,0.82,2.0,0.87,UNet
sub-verse152_vert-23-seg-vert_msk,0.86,0.82,2.24,0.85,MultiScale2DPermuteConcat
sub-verse152_vert-23-seg-vert_msk,0.87,0.77,2.0,0.92,UNETR
sub-verse152_vert-23-seg-vert_msk,0.83,0.95,2.83,0.79,OneDConcat
sub-verse152_vert-23-seg-vert_msk,0.88,0.68,1.73,0.9,TwoDPermuteConcat
sub-verse152_vert-23-seg-vert_msk,0.85,0.91,2.0,0.84,TLPredictor
sub-verse152_vert-23-seg-vert_msk,0.89,0.63,1.73,0.93,AttentionUnet
sub-verse152_vert-23-seg-vert_msk,0.88,0.67,2.0,0.92,SwinUNETR
sub-verse152_vert-24-seg-vert_msk,0.85,0.82,2.24,0.82,TwoDPermuteConcat
sub-verse152_vert-24-seg-vert_msk,0.83,0.95,2.83,0.8,UNETR
sub-verse152_vert-24-seg-vert_msk,0.85,0.78,2.45,0.81,SwinUNETR
sub-verse152_vert-24-seg-vert_msk,0.8,0.98,3.32,0.72,MultiScale2DPermuteConcat
sub-verse152_vert-24-seg-vert_msk,0.8,1.05,3.0,0.7,TLPredictor
sub-verse152_vert-24-seg-vert_msk,0.86,0.7,2.24,0.84,AttentionUnet
sub-verse152_vert-24-seg-vert_msk,0.83,0.91,3.0,0.76,UNet
sub-verse152_vert-24-seg-vert_msk,0.8,1.14,2.83,0.68,OneDConcat
sub-verse068_vert-16-seg-vert_msk,0.85,0.59,2.24,0.87,AttentionUnet
sub-verse068_vert-16-seg-vert_msk,0.82,0.81,2.24,0.83,TLPredictor
sub-verse068_vert-16-seg-vert_msk,0.85,0.67,2.0,0.87,SwinUNETR
sub-verse068_vert-16-seg-vert_msk,0.84,0.69,2.0,0.86,UNETR
sub-verse068_vert-16-seg-vert_msk,0.85,0.64,2.24,0.84,UNet
sub-verse068_vert-16-seg-vert_msk,0.83,0.68,2.24,0.82,MultiScale2DPermuteConcat
sub-verse068_vert-16-seg-vert_msk,0.86,0.63,1.73,0.9,TwoDPermuteConcat
sub-verse068_vert-16-seg-vert_msk,0.83,0.67,2.83,0.78,OneDConcat
sub-verse068_vert-17-seg-vert_msk,0.86,0.68,2.24,0.86,TLPredictor
sub-verse068_vert-17-seg-vert_msk,0.85,0.63,2.24,0.87,UNETR
sub-verse068_vert-17-seg-vert_msk,0.87,0.58,1.73,0.9,TwoDPermuteConcat
sub-verse068_vert-17-seg-vert_msk,0.86,0.61,2.24,0.86,UNet
sub-verse068_vert-17-seg-vert_msk,0.88,0.54,2.0,0.91,SwinUNETR
sub-verse068_vert-17-seg-vert_msk,0.88,0.53,1.73,0.92,AttentionUnet
sub-verse068_vert-17-seg-vert_msk,0.84,0.73,2.24,0.85,OneDConcat
sub-verse068_vert-17-seg-vert_msk,0.85,0.64,2.24,0.85,MultiScale2DPermuteConcat
sub-verse068_vert-18-seg-vert_msk,0.88,0.55,2.24,0.86,TwoDPermuteConcat
sub-verse068_vert-18-seg-vert_msk,0.84,0.67,2.9,0.79,TLPredictor
sub-verse068_vert-18-seg-vert_msk,0.83,0.75,3.0,0.77,OneDConcat
sub-verse068_vert-18-seg-vert_msk,0.87,0.54,2.24,0.87,AttentionUnet
sub-verse068_vert-18-seg-vert_msk,0.85,0.63,2.83,0.82,UNETR
sub-verse068_vert-18-seg-vert_msk,0.85,0.74,2.45,0.84,SwinUNETR
sub-verse068_vert-18-seg-vert_msk,0.85,0.59,3.0,0.79,MultiScale2DPermuteConcat
sub-verse068_vert-18-seg-vert_msk,0.86,0.68,2.24,0.84,UNet
sub-verse068_vert-19-seg-vert_msk,0.83,0.7,3.61,0.73,OneDConcat
sub-verse068_vert-19-seg-vert_msk,0.83,0.74,2.45,0.79,UNETR
sub-verse068_vert-19-seg-vert_msk,0.85,0.63,2.83,0.81,TwoDPermuteConcat
sub-verse068_vert-19-seg-vert_msk,0.86,0.61,2.24,0.85,AttentionUnet
sub-verse068_vert-19-seg-vert_msk,0.81,0.86,3.16,0.74,TLPredictor
sub-verse068_vert-19-seg-vert_msk,0.84,0.63,3.0,0.78,MultiScale2DPermuteConcat
sub-verse068_vert-19-seg-vert_msk,0.85,0.78,2.24,0.85,SwinUNETR
sub-verse068_vert-19-seg-vert_msk,0.86,0.65,2.24,0.83,UNet
sub-verse068_vert-20-seg-vert_msk,0.75,1.15,3.0,0.67,TLPredictor
sub-verse068_vert-20-seg-vert_msk,0.79,0.85,2.45,0.76,AttentionUnet
sub-verse068_vert-20-seg-vert_msk,0.77,0.82,3.74,0.67,OneDConcat
sub-verse068_vert-20-seg-vert_msk,0.73,0.95,4.69,0.62,MultiScale2DPermuteConcat
sub-verse068_vert-20-seg-vert_msk,0.75,0.95,3.0,0.7,UNETR
sub-verse068_vert-20-seg-vert_msk,0.77,0.93,2.83,0.72,UNet
sub-verse068_vert-20-seg-vert_msk,0.8,0.79,2.45,0.75,TwoDPermuteConcat
sub-verse068_vert-20-seg-vert_msk,0.78,0.92,2.24,0.77,SwinUNETR
sub-verse068_vert-21-seg-vert_msk,0.86,0.6,2.0,0.87,TwoDPermuteConcat
sub-verse068_vert-21-seg-vert_msk,0.84,0.79,2.0,0.86,SwinUNETR
sub-verse068_vert-21-seg-vert_msk,0.82,0.74,2.45,0.77,MultiScale2DPermuteConcat
sub-verse068_vert-21-seg-vert_msk,0.84,0.71,2.24,0.84,AttentionUnet
sub-verse068_vert-21-seg-vert_msk,0.81,0.84,2.83,0.75,OneDConcat
sub-verse068_vert-21-seg-vert_msk,0.84,0.69,2.24,0.81,UNet
sub-verse068_vert-21-seg-vert_msk,0.83,0.78,2.24,0.79,TLPredictor
sub-verse068_vert-21-seg-vert_msk,0.83,0.71,2.24,0.84,UNETR
sub-verse068_vert-22-seg-vert_msk,0.85,0.74,2.24,0.83,UNETR
sub-verse068_vert-22-seg-vert_msk,0.85,0.7,2.24,0.83,SwinUNETR
sub-verse068_vert-22-seg-vert_msk,0.86,0.66,2.24,0.85,AttentionUnet
sub-verse068_vert-22-seg-vert_msk,0.86,0.71,2.24,0.83,UNet
sub-verse068_vert-22-seg-vert_msk,0.86,0.61,2.45,0.81,OneDConcat
sub-verse068_vert-22-seg-vert_msk,0.87,0.61,2.24,0.87,MultiScale2DPermuteConcat
sub-verse068_vert-22-seg-vert_msk,0.85,0.73,2.24,0.81,TLPredictor
sub-verse068_vert-22-seg-vert_msk,0.87,0.58,2.24,0.87,TwoDPermuteConcat
sub-verse068_vert-23-seg-vert_msk,0.86,0.65,2.45,0.84,MultiScale2DPermuteConcat
sub-verse068_vert-23-seg-vert_msk,0.84,0.87,2.24,0.82,TLPredictor
sub-verse068_vert-23-seg-vert_msk,0.84,0.8,2.45,0.83,UNETR
sub-verse068_vert-23-seg-vert_msk,0.85,0.75,2.45,0.81,OneDConcat
sub-verse068_vert-23-seg-vert_msk,0.87,0.57,2.24,0.87,AttentionUnet
sub-verse068_vert-23-seg-vert_msk,0.87,0.62,2.0,0.87,UNet
