subject-id,DSC,ASD,HD95,NSD,model
s1029_rib_msk,0.52,1.01,3.32,0.48,UNet
s1029_rib_msk,0.53,0.96,3.61,0.47,TwoDPermuteConcat
s1042_rib_msk,0.28,1.84,8.12,0.29,UNETR
s1042_rib_msk,0.12,2.39,9.7,0.19,TLPredictor
s1042_rib_msk,0.42,1.39,8.37,0.41,MultiScale2DPermuteConcat
s1042_rib_msk,0.37,1.47,6.78,0.38,TwoDPermuteConcat
s1042_rib_msk,0.39,1.39,8.25,0.37,UNet
s1042_rib_msk,0.44,1.21,6.32,0.44,AttentionUnet
s1042_rib_msk,0.21,2.14,24.02,0.24,OneDConcat
s1305_rib_msk,0.29,1.77,9.27,0.34,UNETR
s1305_rib_msk,0.19,2.09,6.4,0.29,TLPredictor
s1305_rib_msk,0.33,1.3,8.72,0.36,AttentionUnet
s1305_rib_msk,0.3,1.55,5.39,0.36,UNet
s1305_rib_msk,0.29,1.45,13.75,0.33,MultiScale2DPermuteConcat
s1305_rib_msk,0.18,2.07,15.75,0.27,OneDConcat
s1305_rib_msk,0.35,1.24,10.05,0.41,TwoDPermuteConcat
s0344_rib_msk,0.5,1.09,3.58,0.48,UNet
s0344_rib_msk,0.32,1.7,13.42,0.31,OneDConcat
s0344_rib_msk,0.41,1.3,7.27,0.37,UNETR
s0344_rib_msk,0.57,0.89,5.39,0.52,MultiScale2DPermuteConcat
s0344_rib_msk,0.59,0.81,3.0,0.53,AttentionUnet
s0344_rib_msk,0.59,1.03,5.2,0.53,TwoDPermuteConcat
s0344_rib_msk,0.31,1.78,5.83,0.32,TLPredictor
s0556_rib_msk,0.61,0.73,2.45,0.59,AttentionUnet
s0556_rib_msk,0.57,0.92,3.32,0.52,TwoDPermuteConcat
s0556_rib_msk,0.34,1.59,4.6,0.32,TLPredictor
s0556_rib_msk,0.56,0.97,2.83,0.53,UNet
s0556_rib_msk,0.54,1.0,4.58,0.49,MultiScale2DPermuteConcat
s0556_rib_msk,0.36,1.61,14.49,0.33,OneDConcat
s0556_rib_msk,0.49,1.19,5.0,0.46,UNETR
s0975_rib_msk,0.52,0.87,3.74,0.46,AttentionUnet
s0975_rib_msk,0.41,1.23,12.35,0.35,MultiScale2DPermuteConcat
s0975_rib_msk,0.53,1.03,5.1,0.44,TwoDPermuteConcat
s0975_rib_msk,0.35,1.64,5.92,0.32,UNETR
s0975_rib_msk,0.54,1.0,3.74,0.47,UNet
s0975_rib_msk,0.14,2.5,16.43,0.19,OneDConcat
s0975_rib_msk,0.09,2.83,7.48,0.14,TLPredictor
s0046_rib_msk,0.33,1.48,8.31,0.34,TLPredictor
s0046_rib_msk,0.32,1.71,13.75,0.31,OneDConcat
s0046_rib_msk,0.54,0.77,4.0,0.5,AttentionUnet
s0046_rib_msk,0.37,1.31,6.4,0.35,UNETR
s0046_rib_msk,0.46,1.08,5.83,0.41,UNet
s0046_rib_msk,0.5,1.05,3.61,0.47,TwoDPermuteConcat
s0046_rib_msk,0.5,1.11,6.48,0.45,MultiScale2DPermuteConcat
s1337_rib_msk,0.6,0.76,2.45,0.58,AttentionUnet
s1337_rib_msk,0.26,1.97,15.3,0.28,OneDConcat
s1337_rib_msk,0.59,0.88,2.45,0.54,TwoDPermuteConcat
s1337_rib_msk,0.36,1.45,7.23,0.36,TLPredictor
s1337_rib_msk,0.56,0.91,5.0,0.51,MultiScale2DPermuteConcat
s1337_rib_msk,0.47,1.21,5.0,0.43,UNETR
s1337_rib_msk,0.56,0.97,2.83,0.54,UNet
s1161_rib_msk,0.53,1.01,8.06,0.47,MultiScale2DPermuteConcat
s1161_rib_msk,0.23,2.09,16.14,0.24,OneDConcat
s1161_rib_msk,0.42,1.55,6.4,0.37,UNETR
s1161_rib_msk,0.58,0.89,3.61,0.51,AttentionUnet
s1161_rib_msk,0.25,1.81,11.36,0.25,TLPredictor
s1161_rib_msk,0.59,0.91,4.36,0.51,TwoDPermuteConcat
s1161_rib_msk,0.53,1.21,4.0,0.47,UNet
s0550_rib_msk,0.56,0.97,3.0,0.51,UNet
s0550_rib_msk,0.34,1.67,13.45,0.3,OneDConcat
s0550_rib_msk,0.32,1.66,4.69,0.33,TLPredictor
s0550_rib_msk,0.41,1.39,7.05,0.37,UNETR
s0550_rib_msk,0.6,0.78,3.0,0.53,TwoDPermuteConcat
s0550_rib_msk,0.57,0.91,5.74,0.5,MultiScale2DPermuteConcat
s0550_rib_msk,0.58,0.83,2.83,0.52,AttentionUnet
s0502_rib_msk,0.52,1.07,4.12,0.48,UNETR
s0502_rib_msk,0.63,0.67,2.24,0.6,AttentionUnet
s0502_rib_msk,0.41,1.35,3.61,0.4,TLPredictor
s0502_rib_msk,0.61,0.89,2.45,0.58,UNet
s0502_rib_msk,0.62,0.82,2.24,0.58,TwoDPermuteConcat
