id,spl,spa,avbh,pvbh,svbl,ivbl,vcl
sub-verse404_split-verse256_vert-10,0.520,7.480,2.150,0.710,1.560,0.990,0.570
sub-verse404_split-verse256_vert-15,0.590,0.030,1.080,0.010,0.140,3.930,0.460
sub-verse404_split-verse256_vert-16,0.260,1.400,0.810,1.740,1.400,2.620,0.010
sub-verse404_split-verse256_vert-18,0.900,2.020,0.960,0.470,1.380,3.060,0.090
sub-verse404_split-verse256_vert-17,0.330,3.470,0.820,0.210,1.680,0.470,0.320
sub-verse404_split-verse256_vert-19,2.370,9.260,1.080,0.190,0.560,0.700,0.500
sub-verse404_split-verse256_vert-20,0.300,6.600,2.490,1.480,1.250,0.540,0.320
sub-verse404_split-verse256_vert-7,2.340,0.700,0.970,1.740,1.220,1.420,0.570
sub-verse404_split-verse256_vert-21,1.220,14.980,1.200,0.810,2.800,0.880,0.670
sub-verse404_split-verse256_vert-22,1.100,2.640,0.820,1.930,1.790,1.110,0.120
sub-verse404_split-verse256_vert-23,2.340,15.900,0.540,1.580,2.790,0.000,1.180
sub-verse404_split-verse256_vert-9,0.970,3.400,0.780,1.440,0.920,2.200,0.460
sub-verse406_split-verse214_vert-2,0.950,34.400,3.500,0.370,1.460,3.560,0.270
sub-verse404_split-verse256_vert-24,3.480,17.620,0.080,0.130,2.070,0.530,1.450
sub-verse406_split-verse214_vert-3,2.160,17.930,1.770,1.560,0.950,0.960,0.200
sub-verse404_split-verse256_vert-8,0.340,1.500,0.690,1.170,0.650,0.620,0.110
sub-verse406_split-verse214_vert-4,0.100,0.650,0.500,1.080,0.930,1.510,0.850
sub-verse406_split-verse214_vert-5,0.040,0.940,0.630,0.110,0.420,0.190,0.060
sub-verse406_split-verse214_vert-6,2.270,2.700,2.480,1.130,1.500,0.940,0.230
sub-verse406_split-verse214_vert-7,3.620,12.070,0.980,1.750,1.060,0.450,0.170
sub-verse406_split-verse214_vert-9,1.200,7.840,4.500,1.390,2.090,0.460,0.200
sub-verse406_split-verse214_vert-8,1.230,6.060,0.160,1.490,1.420,0.320,0.310
sub-verse406_split-verse261_vert-10,7.020,94.800,0.270,0.930,1.090,0.170,0.260
sub-verse406_split-verse261_vert-11,13.920,3.810,0.820,0.180,0.890,0.050,0.010
sub-verse406_split-verse261_vert-14,2.480,5.100,0.200,0.940,1.420,1.960,0.830
sub-verse406_split-verse261_vert-13,3.430,3.140,1.910,1.320,0.560,0.440,0.440
sub-verse406_split-verse261_vert-12,7.470,7.230,0.420,0.190,0.400,1.870,0.540
sub-verse406_split-verse261_vert-15,6.030,2.360,0.390,0.500,2.270,0.860,0.420
sub-verse406_split-verse261_vert-16,1.820,23.030,3.210,2.510,0.280,1.010,2.420
sub-verse406_split-verse261_vert-20,0.520,4.440,2.200,5.180,0.460,1.430,0.460
sub-verse406_split-verse261_vert-19,5.460,73.080,0.510,0.020,1.670,1.490,0.170
sub-verse406_split-verse261_vert-21,1.680,8.560,0.350,0.000,0.440,1.610,0.210
sub-verse406_split-verse261_vert-23,0.180,2.050,1.560,0.490,2.750,0.090,0.630
sub-verse406_split-verse261_vert-7,2.330,110.110,0.110,0.200,0.900,0.850,0.130
sub-verse406_split-verse261_vert-24,5.580,46.520,2.460,2.560,0.360,2.520,0.190
sub-verse406_split-verse261_vert-25,3.700,22.770,0.080,1.720,0.840,0.870,1.040
sub-verse406_split-verse261_vert-22,1.340,3.110,2.220,1.210,1.210,0.590,1.320
sub-verse406_split-verse261_vert-8,6.120,19.440,3.320,4.370,1.410,4.160,0.050
sub-verse406_split-verse261_vert-9,8.680,78.650,4.410,1.040,4.480,0.290,0.290
sub-verse409_split-verse266_vert-11,10.780,38.340,1.090,0.910,0.640,2.570,1.620
sub-verse409_split-verse266_vert-10,2.330,9.250,0.470,0.640,4.460,1.010,0.030
sub-verse409_split-verse266_vert-12,6.470,38.100,4.540,2.540,3.300,0.510,2.060
sub-verse409_split-verse266_vert-16,8.110,68.990,0.910,0.380,5.500,1.000,0.760
sub-verse409_split-verse266_vert-14,5.110,57.060,1.380,2.970,3.520,0.760,1.270
