subject-id,DSC,ASD,HD95,NSD,model
s0141_femur_right_msk,0.93,0.98,3.0,0.83,UNETR
s0141_femur_right_msk,0.92,1.12,3.0,0.82,TLPredictor
s1238_femur_left_msk,0.92,1.25,4.24,0.73,OneDConcat
s1238_femur_left_msk,0.92,1.33,4.58,0.77,AttentionUnet
s1238_femur_left_msk,0.92,1.6,3.74,0.76,TwoDPermuteConcat
s1238_femur_left_msk,0.93,1.18,3.16,0.76,MultiScale2DPermuteConcat
s1238_femur_left_msk,0.92,1.2,4.24,0.76,UNETR
s1238_femur_left_msk,0.91,1.4,4.24,0.65,TLPredictor
s1238_femur_left_msk,0.93,1.12,3.74,0.78,UNet
s1238_femur_right_msk,0.95,0.85,2.45,0.88,TwoDPermuteConcat
s1238_femur_right_msk,0.95,0.75,2.24,0.92,UNet
s1238_femur_right_msk,0.94,0.98,3.0,0.83,MultiScale2DPermuteConcat
s1238_femur_right_msk,0.92,1.2,3.74,0.73,OneDConcat
s1238_femur_right_msk,0.94,1.0,2.83,0.83,UNETR
s1238_femur_right_msk,0.92,1.25,3.74,0.72,TLPredictor
s1238_femur_right_msk,0.94,1.0,3.0,0.83,AttentionUnet
s0509_femur_left_msk,0.69,4.19,13.04,0.28,UNet
s0509_femur_left_msk,0.69,6.4,23.41,0.36,UNETR
s0509_femur_left_msk,0.67,6.54,23.45,0.3,MultiScale2DPermuteConcat
s0509_femur_left_msk,0.55,7.62,21.02,0.18,TLPredictor
s0509_femur_left_msk,0.74,4.92,14.9,0.36,AttentionUnet
s0509_femur_left_msk,0.56,7.44,23.26,0.2,TwoDPermuteConcat
s0509_femur_left_msk,0.59,8.57,26.4,0.22,OneDConcat
s0509_femur_right_msk,0.8,3.22,8.37,0.34,TLPredictor
s0509_femur_right_msk,0.85,2.4,7.87,0.54,UNETR
s0509_femur_right_msk,0.89,1.75,5.74,0.59,MultiScale2DPermuteConcat
s0509_femur_right_msk,0.89,1.77,4.9,0.58,OneDConcat
s0509_femur_right_msk,0.9,1.51,4.58,0.67,AttentionUnet
s0509_femur_right_msk,0.89,1.64,5.74,0.59,UNet
s0509_femur_right_msk,0.91,1.38,4.12,0.67,TwoDPermuteConcat
s1348_femur_left_msk,0.92,1.16,5.1,0.7,MultiScale2DPermuteConcat
s1348_femur_left_msk,0.94,0.82,4.12,0.81,AttentionUnet
s1348_femur_left_msk,0.92,1.01,4.9,0.76,UNet
s1348_femur_left_msk,0.93,0.99,5.0,0.77,TwoDPermuteConcat
s1348_femur_left_msk,0.9,1.28,5.83,0.67,TLPredictor
s1348_femur_left_msk,0.91,1.16,5.74,0.71,OneDConcat
s1348_femur_left_msk,0.92,1.09,4.58,0.72,UNETR
s1348_femur_right_msk,0.94,0.87,4.12,0.8,AttentionUnet
s1348_femur_right_msk,0.93,1.0,4.24,0.75,TLPredictor
s1348_femur_right_msk,0.93,0.94,4.77,0.79,UNet
s1348_femur_right_msk,0.92,1.18,4.9,0.7,MultiScale2DPermuteConcat
s1348_femur_right_msk,0.92,1.04,5.0,0.74,UNETR
s1348_femur_right_msk,0.91,1.24,5.66,0.66,OneDConcat
s1348_femur_right_msk,0.92,1.04,5.39,0.76,TwoDPermuteConcat
s0174_femur_left_msk,0.93,0.92,2.45,0.89,AttentionUnet
s0174_femur_left_msk,0.85,1.82,5.2,0.58,TLPredictor
s0174_femur_left_msk,0.93,0.87,2.45,0.88,UNet
s0174_femur_left_msk,0.9,1.29,3.32,0.73,TwoDPermuteConcat
s0174_femur_left_msk,0.92,1.06,2.83,0.82,UNETR
s0174_femur_left_msk,0.84,2.31,5.0,0.45,OneDConcat
s0174_femur_left_msk,0.92,1.08,3.0,0.79,MultiScale2DPermuteConcat
s0174_femur_right_msk,0.83,2.2,5.48,0.44,TLPredictor
s0174_femur_right_msk,0.92,0.98,2.83,0.82,AttentionUnet
s0174_femur_right_msk,0.83,2.29,5.1,0.44,OneDConcat
s0174_femur_right_msk,0.9,1.24,3.61,0.76,TwoDPermuteConcat
s0174_femur_right_msk,0.92,1.01,2.83,0.82,UNETR
s0174_femur_right_msk,0.92,1.61,3.0,0.81,UNet
s0174_femur_right_msk,0.89,1.75,5.83,0.7,MultiScale2DPermuteConcat
s1149_femur_left_msk,0.92,1.27,3.74,0.75,MultiScale2DPermuteConcat
s1149_femur_left_msk,0.9,1.37,5.39,0.71,UNETR
s1149_femur_left_msk,0.86,2.1,6.15,0.49,OneDConcat
s1149_femur_left_msk,0.92,1.04,4.58,0.8,AttentionUnet
s1149_femur_left_msk,0.89,1.57,5.1,0.6,TLPredictor
s1149_femur_left_msk,0.93,1.0,3.0,0.81,TwoDPermuteConcat
s1149_femur_left_msk,0.92,1.1,4.0,0.77,UNet
s1149_femur_right_msk,0.9,2.9,25.5,0.73,UNet
s1149_femur_right_msk,0.92,1.04,3.61,0.77,AttentionUnet
s1149_femur_right_msk,0.91,1.17,4.0,0.71,TwoDPermuteConcat
s1149_femur_right_msk,0.87,1.83,5.66,0.51,TLPredictor
s1149_femur_right_msk,0.88,1.78,5.83,0.57,MultiScale2DPermuteConcat
s1149_femur_right_msk,0.88,2.46,5.83,0.61,UNETR
s1149_femur_right_msk,0.85,2.26,6.16,0.45,OneDConcat
s0768_femur_left_msk,0.94,0.8,2.83,0.85,UNet
s0768_femur_left_msk,0.93,0.98,3.0,0.85,AttentionUnet
s0768_femur_left_msk,0.9,1.38,3.61,0.68,TLPredictor
s0768_femur_left_msk,0.91,1.25,3.32,0.77,UNETR
s0768_femur_left_msk,0.93,0.92,2.45,0.86,MultiScale2DPermuteConcat
s0768_femur_left_msk,0.93,0.85,2.83,0.84,TwoDPermuteConcat
s0768_femur_left_msk,0.86,1.87,4.9,0.51,OneDConcat
s0768_femur_right_msk,0.94,1.38,2.45,0.87,UNet
s0768_femur_right_msk,0.92,1.09,3.46,0.79,UNETR
s0768_femur_right_msk,0.9,1.29,3.74,0.71,OneDConcat
s0768_femur_right_msk,0.92,1.12,3.16,0.78,TLPredictor
s0768_femur_right_msk,0.95,0.7,2.24,0.9,AttentionUnet
s0768_femur_right_msk,0.94,0.75,2.83,0.88,TwoDPermuteConcat
s0768_femur_right_msk,0.94,0.84,2.83,0.87,MultiScale2DPermuteConcat
s1276_femur_left_msk,0.93,0.94,2.83,0.82,OneDConcat
s1276_femur_left_msk,0.93,0.86,2.83,0.86,UNETR
s1276_femur_left_msk,0.93,0.99,2.83,0.84,TLPredictor
